protein_length,abundance,missingness,miscleavage_rate,var_subject,var_site,n_proteins,method,rmse_mean,rmse_se,n
100,100,0.0,0.0,0.0,0.0,5,rollup/mean,0.8194697275266438,0.21436398712252772,5
100,100,0.0,0.0,0.0,0.0,5,rollup/median,0.9046045022396921,0.21886338882408038,5
100,100,0.0,0.0,0.0,0.0,5,rollup/sum,2.0285033143914917,0.2673513661652111,5
100,100,0.0,0.0,0.0,0.0,5,rrollup/mean,0.8194697275266438,0.2143639871225277,5
100,100,0.0,0.0,0.0,0.0,5,rrollup/median,0.8205476818226934,0.20432861902280927,5
100,100,0.0,0.0,0.0,0.0,5,rrollup/sum,2.0285033143914912,0.2673513661652112,5
100,100,0.0,0.0,0.0,0.0,5,zrollup/mean,1.3702812387197156,0.14921289419700745,5
100,100,0.0,0.0,0.0,0.0,5,zrollup/median,1.459078368063123,0.15696236158955176,5
100,100,0.0,0.0,0.0,0.0,5,zrollup/sum,2.1427590571866295,0.20616993856906038,5
100,100,0.0,0.0,0.0,0.0,10,rollup/mean,0.8149453435129669,0.10495517126254157,5
100,100,0.0,0.0,0.0,0.0,10,rollup/median,0.8709221259138719,0.10234442882753877,5
100,100,0.0,0.0,0.0,0.0,10,rollup/sum,2.105102017319188,0.14117542703521951,5
100,100,0.0,0.0,0.0,0.0,10,rrollup/mean,0.8149453435129669,0.10495517126254159,5
100,100,0.0,0.0,0.0,0.0,10,rrollup/median,0.8323976597086655,0.10689081039403461,5
100,100,0.0,0.0,0.0,0.0,10,rrollup/sum,2.105102017319188,0.1411754270352196,5
100,100,0.0,0.0,0.0,0.0,10,zrollup/mean,1.2953426193433608,0.04435533801426752,5
100,100,0.0,0.0,0.0,0.0,10,zrollup/median,1.3319666035570914,0.05135591427580315,5
100,100,0.0,0.0,0.0,0.0,10,zrollup/sum,1.8763081751688335,0.09023049533602157,5
100,100,0.0,0.0,0.0,1.0,5,rollup/mean,0.5324080213753951,0.11450315016806017,5
100,100,0.0,0.0,0.0,1.0,5,rollup/median,0.611309139062606,0.16386736450189282,5
100,100,0.0,0.0,0.0,1.0,5,rollup/sum,1.7883922004914723,0.240102030469874,5
100,100,0.0,0.0,0.0,1.0,5,rrollup/mean,0.5324080213753951,0.1145031501680602,5
100,100,0.0,0.0,0.0,1.0,5,rrollup/median,0.6180394805312807,0.16724182424922618,5
100,100,0.0,0.0,0.0,1.0,5,rrollup/sum,1.7883922004914727,0.24010203046987405,5
100,100,0.0,0.0,0.0,1.0,5,zrollup/mean,1.256266317505403,0.07559246131246915,5
100,100,0.0,0.0,0.0,1.0,5,zrollup/median,1.3317669791786055,0.06410086230894856,5
100,100,0.0,0.0,0.0,1.0,5,zrollup/sum,1.8695585129631063,0.26428343115094455,5
100,100,0.0,0.0,0.0,1.0,10,rollup/mean,0.7607722987806516,0.08602782139897722,5
