,miscleavage_model,var_subject,var_site,var_species,missingness,method,rmse_mean,rmse_se,n
0,global,0,0,0,0.0,int_mean,0.8299390989941051,0.13990565815122538,5
1,global,0,0,0,0.0,int_median,0.9110595725241877,0.1441095128623953,5
2,global,0,0,0,0.0,int_sum,2.5733052845850244,0.5734410631600318,5
3,global,0,0,0,0.0,stoich_fraction,0.004248151256340419,0.00424815125633989,5
4,global,0,0,0,0.0,stoich_logit,0.04949357851471526,0.0494935785147141,5
5,global,0,0,0,0.0,stoich_pep_mean,0.004248151256340419,0.00424815125633989,5
6,global,0,0,0,0.0,stoich_pep_median,0.004248151256340419,0.00424815125633989,5
7,global,0,0,0,0.25,int_mean,0.7573930667101997,0.0660036814682404,5
8,global,0,0,0,0.25,int_median,0.7721310847910015,0.06101296413685204,5
9,global,0,0,0,0.25,int_sum,3.1127742691950653,0.4080812981242229,5
10,global,0,0,0,0.25,stoich_fraction,0.8373182139543406,0.11574785511877132,5
11,global,0,0,0,0.25,stoich_logit,7.9121076043982725,0.8006843480739534,5
12,global,0,0,0,0.25,stoich_pep_mean,0.8373182139543406,0.11574785511877132,5
13,global,0,0,0,0.25,stoich_pep_median,0.8373182139543406,0.11574785511877132,5
14,global,0,0,0,0.5,int_mean,0.7748880741330434,0.0640883816921984,5
15,global,0,0,0,0.5,int_median,0.7789159048391977,0.06409040233306391,5
16,global,0,0,0,0.5,int_sum,2.1683603652185197,0.3093126039846756,5
17,global,0,0,0,0.5,stoich_fraction,1.12922864394718,0.0288610032766645,5
18,global,0,0,0,0.5,stoich_logit,14.209419065040361,1.0143269097275955,5
19,global,0,0,0,0.5,stoich_pep_mean,1.12922864394718,0.0288610032766645,5
20,global,0,0,0,0.5,stoich_pep_median,1.12922864394718,0.0288610032766645,5
21,global,0,0,1,0.0,int_mean,0.9181750686534353,0.1390374978966005,5
22,global,0,0,1,0.0,int_median,0.960558143293888,0.1138554410357099,5
23,global,0,0,1,0.0,int_sum,3.7914198167288786,0.520316925861172,5
24,global,0,0,1,0.0,stoich_fraction,5.855938998036758e-16,2.3148281941280243e-17,5
25,global,0,0,1,0.0,stoich_logit,2.4767184768484502e-15,2.264100103341186e-16,5
26,global,0,0,1,0.0,stoich_pep_mean,5.855938998036758e-16,2.3148281941280243e-17,5
27,global,0,0,1,0.0,stoich_pep_median,5.855938998036758e-16,2.3148281941280243e-17,5
28,global,0,0,1,0.25,int_mean,0.8239489737745256,0.06493411874749552,5
29,global,0,0,1,0.25,int_median,0.8461515017813227,0.0727402102811539,5
30,global,0,0,1,0.25,int_sum,3.1135589235565333,0.2678667942874549,5
31,global,0,0,1,0.25,stoich_fraction,0.7587977329357886,0.047530788284933984,5
32,global,0,0,1,0.25,stoich_logit,6.178899832757112,0.17180318773042658,5
33,global,0,0,1,0.25,stoich_pep_mean,0.7587977329357886,0.047530788284933984,5
34,global,0,0,1,0.25,stoich_pep_median,0.7587977329357886,0.047530788284933984,5
35,global,0,0,1,0.5,int_mean,0.6962677663736816,0.1432870453541296,5
36,global,0,0,1,0.5,int_median,0.6952995988945545,0.1426471726369666,5
37,global,0,0,1,0.5,int_sum,1.7010712953628293,0.14822354283057318,5
38,global,0,0,1,0.5,stoich_fraction,1.3525947829262297,0.08386908853084904,5
39,global,0,0,1,0.5,stoich_logit,14.435294318908324,0.21594224333570292,5
40,global,0,0,1,0.5,stoich_pep_mean,1.3525947829262297,0.08386908853084904,5
41,global,0,0,1,0.5,stoich_pep_median,1.3525947829262297,0.08386908853084904,5
42,global,0,0,9,0.0,int_mean,1.0773386898325983,0.13779408183302114,5
43,global,0,0,9,0.0,int_median,1.1435338651475828,0.14315324792411682,5
44,global,0,0,9,0.0,int_sum,3.389248704359967,0.5165227420673746,5
45,global,0,0,9,0.0,stoich_fraction,5.450752244445391e-16,2.7928503907618855e-17,5
46,global,0,0,9,0.0,stoich_logit,1.4158878750968498e-15,7.706218310809734e-17,5
47,global,0,0,9,0.0,stoich_pep_mean,5.450752244445391e-16,2.7928503907618855e-17,5
48,global,0,0,9,0.0,stoich_pep_median,5.450752244445391e-16,2.7928503907618855e-17,5
49,global,0,0,9,0.25,int_mean,0.9670556674256454,0.15100063642853376,5
50,global,0,0,9,0.25,int_median,1.0125773817662498,0.14441893071849202,5
51,global,0,0,9,0.25,int_sum,3.780674012272103,0.33100226731984433,5
52,global,0,0,9,0.25,stoich_fraction,0.7749504055250315,0.05082914086407346,5
53,global,0,0,9,0.25,stoich_logit,7.3724530937894714,0.2591088158311834,5
54,global,0,0,9,0.25,stoich_pep_mean,0.7749504055250315,0.05082914086407346,5
55,global,0,0,9,0.25,stoich_pep_median,0.7749504055250315,0.05082914086407346,5
56,global,0,0,9,0.5,int_mean,0.864556284202586,0.06921970444019004,5
57,global,0,0,9,0.5,int_median,0.8667044603016902,0.06819008508260888,5
58,global,0,0,9,0.5,int_sum,2.7747795989247814,0.2637926713647791,5
59,global,0,0,9,0.5,stoich_fraction,1.0415174052035725,0.11522140023827529,5
60,global,0,0,9,0.5,stoich_logit,11.65508471151575,0.5703853340583613,5
61,global,0,0,9,0.5,stoich_pep_mean,1.0415174052035725,0.11522140023827529,5
62,global,0,0,9,0.5,stoich_pep_median,1.0415174052035725,0.11522140023827529,5
63,global,0,1,0,0.0,int_mean,0.8144981471871837,0.14907065419155127,5
64,global,0,1,0,0.0,int_median,0.9097763964290397,0.1712303761762474,5
65,global,0,1,0,0.0,int_sum,3.2184256946042766,0.8432830454862918,5
66,global,0,1,0,0.0,stoich_fraction,0.3744055018827525,0.04035746375693895,5
67,global,0,1,0,0.0,stoich_logit,0.13800979637665584,0.025696454391308153,5
68,global,0,1,0,0.0,stoich_pep_mean,0.3744055018827525,0.04035746375693895,5
69,global,0,1,0,0.0,stoich_pep_median,0.3744055018827525,0.04035746375693895,5
70,global,0,1,0,0.25,int_mean,0.8079852319522596,0.10831763076598114,5
71,global,0,1,0,0.25,int_median,0.8462094878062107,0.10209560648567106,5
72,global,0,1,0,0.25,int_sum,2.89285083848534,0.28518397837426457,5
73,global,0,1,0,0.25,stoich_fraction,0.7754070482223847,0.0622751410461765,5
74,global,0,1,0,0.25,stoich_logit,6.32665589433953,0.5113806757944477,5
75,global,0,1,0,0.25,stoich_pep_mean,0.7754070482223847,0.0622751410461765,5
76,global,0,1,0,0.25,stoich_pep_median,0.7754070482223847,0.0622751410461765,5
77,global,0,1,0,0.5,int_mean,0.855678334754257,0.15544898179940791,5
78,global,0,1,0,0.5,int_median,0.8525163296827545,0.15626505730349047,5
79,global,0,1,0,0.5,int_sum,2.4320273032680992,0.3016350205060273,5
80,global,0,1,0,0.5,stoich_fraction,1.1113560410123735,0.0942257477664139,5
81,global,0,1,0,0.5,stoich_logit,12.736476068391996,0.7618426893336263,5
82,global,0,1,0,0.5,stoich_pep_mean,1.1113560410123735,0.0942257477664139,5
83,global,0,1,0,0.5,stoich_pep_median,1.1113560410123735,0.0942257477664139,5
84,global,0,1,1,0.0,int_mean,0.7830890884431274,0.15165848040213292,5
85,global,0,1,1,0.0,int_median,0.846054984099986,0.15506610763523831,5
86,global,0,1,1,0.0,int_sum,2.845888014343672,0.3981997625193889,5
87,global,0,1,1,0.0,stoich_fraction,0.36224142538279824,0.03947556084017349,5
88,global,0,1,1,0.0,stoich_logit,0.10750838152157823,0.01713387458286316,5
89,global,0,1,1,0.0,stoich_pep_mean,0.36224142538279824,0.03947556084017349,5
90,global,0,1,1,0.0,stoich_pep_median,0.36224142538279824,0.03947556084017349,5
91,global,0,1,1,0.25,int_mean,0.7369421771221367,0.09973156445565624,5
92,global,0,1,1,0.25,int_median,0.7578395178927024,0.10156196076156748,5
93,global,0,1,1,0.25,int_sum,2.300799907997229,0.2177054093741056,5
94,global,0,1,1,0.25,stoich_fraction,0.9805165298457459,0.0904402780762004,5
95,global,0,1,1,0.25,stoich_logit,7.187109446286146,0.41764423308711696,5
96,global,0,1,1,0.25,stoich_pep_mean,0.9805165298457459,0.0904402780762004,5
